featurecla,name,nameascii,adm0cap,worldcity,megacity,adm0name,adm0_a3,adm1name,latitude,longitude,pop_max,pop_min
Admin-0 capital,Baghdad,Baghdad,1,0,1,Iraq,IRQ,Baghdad,33.3386485,44.39386877,5054000,5054000
Admin-0 capital,Addis Ababa,Addis Ababa,1,0,1,Ethiopia,ETH,Addis Ababa,9.033310363,38.70000443,3100000,2757729
Admin-0 capital,Tehran,Tehran,1,0,1,Iran,IRN,Tehran,35.67194277,51.42434403,7873000,7153309
Admin-0 capital,Buenos Aires,Buenos Aires,1,1,1,Argentina,ARG,Ciudad de Buenos Aires,-34.60250161,-58.39753137,12795000,10929146
Admin-0 capital,Kabul,Kabul,1,0,1,Afghanistan,AFG,Kabul,34.51669029,69.18326005,3277000,3043532
Admin-0 capital,Vienna,Vienna,1,1,1,Austria,AUT,Wien,48.20001528,16.36663896,2400000,1731000
Admin-0 capital,Taipei,Taipei,1,1,1,Taiwan,TWN,Taipei City,25.03583333,121.5683333,6900273,2618772
Admin-0 capital,"Washington, D.C.","Washington, D.C.",1,1,1,United States of America,USA,District of Columbia,38.89954938,-77.00941858,4338000,552433
Admin-0 capital,London,London,1,1,1,United Kingdom,GBR,Westminster,51.49999473,-0.116721844,8567000,7421209
Admin-0 capital,Riyadh,Riyadh,1,1,1,Saudi Arabia,SAU,Ar Riyad,24.64083315,46.77274166,4465000,4205961
Admin-0 capital,Cape Town,Cape Town,1,1,1,South Africa,ZAF,Western Cape,-33.92001097,18.43498816,3215000,2432858
Admin-0 capital,Moscow,Moscow,1,1,1,Russia,RUS,Moskva,55.75216412,37.61552283,10452000,10452000
Admin-0 capital,Mexico City,Mexico City,1,1,1,Mexico,MEX,Distrito Federal,19.44244244,-99.1309882,19028000,10811002
Admin-0 capital,Rome,Rome,1,1,1,Italy,ITA,Lazio,41.89595563,12.48325842,3339000,35452
Admin-0 capital,Beijing,Beijing,1,1,1,China,CHN,Beijing,39.92889223,116.3882857,11106000,7480601
Admin-0 capital,Nairobi,Nairobi,1,1,1,Kenya,KEN,Nairobi,-1.283346742,36.81665686,3010000,2750547
Admin-0 capital,Jakarta,Jakarta,1,1,1,Indonesia,IDN,Jakarta Raya,-6.174417705,106.8294376,9125000,8540121
Admin-0 capital,Bogota,Bogota,1,1,1,Colombia,COL,Bogota,4.596423563,-74.08334396,7772000,6333661
Admin-0 capital,Cairo,Cairo,1,1,1,Egypt,EGY,Al Qahirah,30.04996035,31.24996822,11893000,7734614
Admin-0 capital,Tokyo,Tokyo,1,1,1,Japan,JPN,Tokyo,35.68501691,139.7514074,35676000,8336599
Admin-0 capital,Paris,Paris,1,1,1,France,FRA,?Äle-de-France,48.86669293,2.333335326,9904000,11177
Admin-0 capital,Santiago,Santiago,1,1,1,Chile,CHL,Regi??n Metropolitana de Santiago,-33.45001382,-70.66704085,5720000,46611
Admin-0 capital,Singapore,Singapore,1,1,1,Singapore,SGP,,1.293033466,103.8558207,5183700,3289529
